Name,Country,Coordinates
Cave of Altamira and Paleolithic Cave Art of Northern Spain,Spain,N43 22 57.1 W4 6 58.2
Caves and Ice Age Art in the Swabian Jura,Germany,N48 23 16 E9 45 56
Caves of Aggtelek Karst and Slovak Karst,Hungary,N48 28 32.628 E20 29 12.732
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,Israel,N31 36 4 E34 54 00
Centennial Hall in Wrocław,Poland,N51 6 25.01 E17 4 37.25
Central Amazon Conservation Complex,Brazil,S2 19 60 W62 0 30
Central Highlands of Sri Lanka,Sri Lanka,N7 27 8.82 E80 48 7.56
Central Sector of the Imperial Citadel of Thang Long - Hanoi,Viet Nam,N21 2 15.072 E105 50 19.043
Central Sikhote-Alin,Russian Federation,N46 40 60 E136 39 40
Central Suriname Nature Reserve,Suriname,N4 0 0 W56 30 0
Central University City Campus of the Universidad Nacional Autónoma de México (UNAM),Mexico,N19 19 56 W99 11 17
Central Zone of the Town of Angra do Heroismo in the Azores,Portugal,N38 39 18 W27 13 12
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,Brazil,S14 0 20.5 W47 41 4.6
Chaco Culture,United States of America,N36 3 49.6 W107 58 15
Chaîne des Puys - Limagne fault tectonic arena,France,N45 46 45.8 E2 57 54.4
"Champagne Hillsides, Houses and Cellars",France,N49 4 39 E3 56 46
Champaner-Pavagadh Archaeological Park,India,N22 28 60 E73 31 60
Chan Chan Archaeological Zone,Peru,S8 6 28.21 W79 4 29.053
Changdeokgung Palace Complex,Republic of Korea,N37 34 44 E126 59 28
Chankillo Archaeoastronomical Complex,Peru,S9 33 24.7 W78 14 9.3
Chartres Cathedral,France,N48 26 51 E1 29 14
Chavin (Archaeological Site),Peru,S9 35 33.981 W77 10 42.433
Chengjiang Fossil Site,China,N24 40 8 E102 58 38
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),India,N18 56 24.44 E72 50 10.33
Chief Roi Mata’s Domain,Vanuatu,S17 37 41.05 E168 10 39.79
China Danxia,China,N28 25 19 E106 2 33
Chiribiquete National Park – “The Maloca of the Jaguar”,Colombia,N0 31 31 W72 47 50
Chitwan National Park,Nepal,N27 30 0 E84 19 59.988
Choirokoitia,Cyprus,N34 47 48.266 E33 20 38.195
Chongoni Rock-Art Area,Malawi,S14 17 36 E34 16 45
"Christiansfeld, a Moravian Church Settlement",Denmark,N55 21 20 E9 28 53
